Parameters;Precisao;Revocacao;F1-Score;Tempo
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.5247;0.9967;0.6872;0.0048
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.5263;0.9967;0.6886;0.0049
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.5986;0.9942;0.7467;0.0074
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.7911;0.9915;0.8773;0.0103
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.8390;0.9884;0.9064;0.0162
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.8425;0.9850;0.9071;0.0227
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9259;0.9794;0.9517;0.0283
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9541;0.9702;0.9617;0.0345
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9672;0.9592;0.9628;0.0463
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9834;0.9480;0.9653;0.0487
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9874;0.9374;0.9618;0.0533
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9899;0.9261;0.9569;0.0592
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9912;0.9155;0.9518;0.0732
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.9952;0.8045;0.8897;0.1284
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.9966;0.6934;0.8178;0.1881
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.9970;0.5882;0.7399;0.2464
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.9973;0.4906;0.6575;0.2943
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.9974;0.3867;0.5573;0.3650
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.9973;0.2967;0.4573;0.4100
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.9977;0.1950;0.3262;0.4549
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.9985;0.0961;0.1752;0.4944
