Parameters;F1-Score
Dance_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4360
Dance_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3105
Dance_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1704
Dance_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.7207
Dance_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.7144
Dance_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.7160
Dance_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.7323
Dance_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.7450
Dance_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.8085
Dance_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9396
Dance_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9623
Dance_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9630
Dance_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9606
Dance_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9564
Dance_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9508
Dance_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9458
Dance_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9406
Dance_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8758
Dance_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.8124
Dance_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7405
Dance_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6578
Dance_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5586
Dance_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4457
Dance_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3166
Dance_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1658
