Parameters;F1-Score
Justice_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4721
Justice_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3511
Justice_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1893
Justice_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.7142
Justice_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.7395
Justice_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.7422
Justice_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.8664
Justice_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.8815
Justice_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.8910
Justice_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.8952
Justice_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.8978
Justice_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.8989
Justice_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.8982
Justice_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.8971
Justice_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.8949
Justice_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.8938
Justice_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.8914
Justice_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8524
Justice_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.7941
Justice_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7304
Justice_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6558
Justice_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5663
Justice_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4682
Justice_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3461
Justice_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1947
Justice_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.7042
Justice_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.7064
Justice_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.7064
Justice_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.9140
Justice_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.9223
Justice_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.9265
Justice_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.9272
Justice_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9267
Justice_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9247
Justice_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9220
Justice_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9190
Justice_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9143
Justice_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9109
Justice_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9053
Justice_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8581
Justice_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8009
Justice_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7366
Justice_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6655
Justice_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5808
Justice_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4808
Justice_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3595
Justice_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1972
