Parameters;Precisao;Revocacao;F1-Score;Tempo
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,7_scale;0.9620;0.3360;0.4975;0.3040
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,8_scale;0.9625;0.2264;0.3661;0.3331
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,9_scale;0.9649;0.1140;0.2036;0.3585
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,0001_scale;0.5212;0.9884;0.6823;0.0043
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,0005_scale;0.5242;0.9980;0.6872;0.0041
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,001_scale;0.5238;0.9980;0.6868;0.0041
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,005_scale;0.6434;0.9954;0.7802;0.0058
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,01_scale;0.7700;0.9923;0.8658;0.0082
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,02_scale;0.8420;0.9867;0.9085;0.0118
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,03_scale;0.8654;0.9809;0.9195;0.0172
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,04_scale;0.8783;0.9753;0.9242;0.0205
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,05_scale;0.8891;0.9673;0.9265;0.0246
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,06_scale;0.8997;0.9598;0.9287;0.0298
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,07_scale;0.9069;0.9507;0.9283;0.0346
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,08_scale;0.9129;0.9428;0.9276;0.0398
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,09_scale;0.9180;0.9344;0.9261;0.0424
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,1_scale;0.9221;0.9279;0.9250;0.0464
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,2_scale;0.9442;0.8450;0.8918;0.0890
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,3_scale;0.9541;0.7589;0.8452;0.1319
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,4_scale;0.9602;0.6661;0.7862;0.1725
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,5_scale;0.9641;0.5645;0.7118;0.2074
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,6_scale;0.9642;0.4481;0.6117;0.2481
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,7_scale;0.9651;0.3331;0.4949;0.2789
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,8_scale;0.9646;0.2158;0.3523;0.3093
Massacre_VAE_1651_4954_2_OCSVM_RBF_0,9_scale;0.9654;0.1064;0.1914;0.3341
