Parameters;F1-Score
Investments_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9744
Investments_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9693
Investments_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9639
Investments_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9586
Investments_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9530
Investments_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9473
Investments_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9411
Investments_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9353
Investments_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8747
Investments_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8091
Investments_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7368
Investments_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6568
Investments_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5612
Investments_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4465
Investments_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3232
Investments_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1755
Investments_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.6920
Investments_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.6921
Investments_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.6922
Investments_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.8496
Investments_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.9424
Investments_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.9653
Investments_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.9673
Investments_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.9653
Investments_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.9624
Investments_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.9583
Investments_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.9533
Investments_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.9492
Investments_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.9445
Investments_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.9396
Investments_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8850
Investments_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.8197
Investments_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7477
Investments_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6674
Investments_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5713
Investments_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4672
Investments_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3428
Investments_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1900
Investments_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.7416
Investments_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.7470
Investments_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.7513
Investments_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.8417
Investments_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.9627
Investments_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.9729
Investments_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.9721
Investments_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9694
Investments_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9652
Investments_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9608
Investments_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9568
Investments_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9521
Investments_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9476
Investments_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9419
Investments_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8877
Investments_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8252
Investments_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7500
Investments_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6687
Investments_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5739
Investments_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4677
Investments_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3440
Investments_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1932
