Parameters;F1-Score
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3158
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1736
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.6935
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.6914
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.6912
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.6951
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.7265
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.7676
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.8169
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.8748
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.8961
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.9040
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.9083
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.9145
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.9163
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.9159
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8694
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.8043
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7284
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6463
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5524
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4484
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3202
Suicide_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1734
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.6995
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.6894
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.6933
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.6958
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.7279
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.7878
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.8509
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9081
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9311
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9363
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9354
