Parameters;Precisao;Revocacao;F1-Score;Tempo
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.8233;0.9923;0.8998;0.0085
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.8931;0.9843;0.9360;0.0108
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.9548;0.9631;0.9587;0.0170
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9719;0.9489;0.9602;0.0227
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9765;0.9380;0.9568;0.0310
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9792;0.9286;0.9532;0.0357
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9819;0.9152;0.9474;0.0495
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9835;0.9052;0.9426;0.0514
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9849;0.8953;0.9379;0.0552
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9866;0.8841;0.9325;0.0606
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9873;0.8733;0.9267;0.0727
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.9918;0.7625;0.8619;0.1308
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.9936;0.6627;0.7947;0.1872
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.9951;0.5724;0.7261;0.2481
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.9954;0.4797;0.6466;0.3007
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.9961;0.3839;0.5531;0.3620
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.9968;0.2925;0.4512;0.4165
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.9966;0.2041;0.3380;0.4461
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.9956;0.1062;0.1916;0.4878
